osm_id;nom;operateur;latitude;longitude;ville;quartier;adresse;region;numero_autorisation;date_autorisation;statut;type_infrastructure;sous_type;osm_type;remarques
node/454902345;"Mobyl Petrolium";"Mobyl Petrolium";3.8061058;11.5091465;;;;Centre;;;historique_autorise;station_service;implantation;node;
node/619707588;Total;;4.4310152;14.3649783;;;;Est;;;historique_autorise;station_service;implantation;node;
node/619707593;"Station sans nom";;4.4334726;14.3617925;;;;Est;;;historique_autorise;station_service;implantation;node;
node/909265827;Oilibya;Oilibya;3.8718587;11.5244039;;;;Centre;;;historique_autorise;station_service;implantation;node;
node/909317722;MRS;MRS;3.8865273;11.5307399;;;;Centre;;;historique_autorise;station_service;implantation;node;
node/927194907;Tradex;Tradex;3.7951455;11.4931636;;;;Centre;;;historique_autorise;station_service;implantation;node;
node/1012761717;SOCAEPE;;3.8620974;11.585595;;;;Centre;;;historique_autorise;station_service;implantation;node;
node/1068916294;"Total Filling Station";Total;5.9865915;10.4345678;;;;Ouest;;;historique_autorise;station_service;implantation;node;
node/2017412464;"Total Carrefour EMIA";Total;3.8626712;11.5039705;;;;Centre;;;historique_autorise;station_service;implantation;node;
node/2125013207;TOTAL;Total;4.958835;9.9392266;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/2125013308;"Station sans nom";Total;5.9447666;10.1629071;;;;Ouest;;;historique_autorise;station_service;implantation;node;
node/2183643556;"Station sans nom";;5.2794403;9.9757242;;;;Ouest;;;historique_autorise;station_service;implantation;node;
node/2183643580;BOCOM;;5.4350589;10.0394662;;;;Ouest;;;historique_autorise;station_service;implantation;node;
node/2275945924;"TOTAL Station";MRS;5.1403835;10.5227599;;;;Ouest;;;historique_autorise;station_service;implantation;node;
node/2287953050;Bocom;;4.24056;13.45399;;;;Est;;;historique_autorise;station_service;implantation;node;
node/2287953051;BOCOM;;4.3786025;13.5773071;;;;Est;;;historique_autorise;station_service;implantation;node;
node/2303494207;"Texaco Messa";Texaco;3.8724342;11.5025695;;;;Centre;;;historique_autorise;station_service;implantation;node;
node/2443599599;Tradex;;4.0925705;9.7521566;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/2543948982;Neptune;;3.8505688;11.5006237;;;;Centre;;;historique_autorise;station_service;implantation;node;
node/2608218005;MRS;;4.0592799;9.2344268;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/2993783984;"Oilibya Bonamoussadi";;4.0851023;9.733334;Douala;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/2993795424;"TOTAL Bonamoussadi 1";TOTAL;4.0864022;9.7345574;Douala;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3029261950;Total;Total;5.6794288;10.2084433;;;;Ouest;;;historique_autorise;station_service;implantation;node;
node/3056587768;Oilibya;;4.0534268;9.7049499;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587769;Oilibya;Oilibya;4.0269939;9.6877812;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587770;Petrolex;Petrolex;4.0360903;9.698604;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587771;MRS;;4.0191113;9.7221723;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587772;Texaco;;4.0277255;9.6890475;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587773;Texaco;Texaco;4.0414052;9.6873557;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587774;Texaco;;4.0427586;9.7077224;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587775;Texaco;Texaco;4.0439574;9.7056735;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587776;Texaco;;4.05609;9.6954752;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587777;MRS;;4.0581088;9.7010305;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587780;Total;Total;4.0156066;9.7265943;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587781;"TOTAL Manga Bell";TOTAL;4.03661;9.7013101;;;;Littoral;;;historique_autorise;station_service;implantation;node;
node/3056587782;Total;Total;4.040596;9.6870033;;;;Littoral;;;historique_autorise;station_service;implantation;node;
